px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
13.1011	20.8192	5.00013	3.00625	0.650198	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975	0.0195263
12.8971	20.9367	4.96069	2.97316	0.554704	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694	2.16484
12.7399	21.0549	4.8425	2.93282	0.458443	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469	1.30609
12.4685	21.053	4.90391	3.00964	0.555577	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175	2.88952
12.2238	21.0971	4.91479	3.02761	0.540903	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912	0.0333812
11.9815	21.1015	4.92311	3.07997	0.593175	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778	0.869397
11.6944	20.9466	4.9713	3.22461	0.760904	11.6814	20.8651	11.785	21.117	-4.86022	0.286869	0.928595
11.4682	20.9785	4.90598	3.20039	0.643267	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281	1.45079
11.2786	21.0418	4.81477	3.17378	0.559619	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057	0.64387
11.0094	20.956	4.85568	3.24333	0.607081	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565	4.03196
10.8085	20.9349	4.78965	3.26711	0.599307	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643	0.43419
10.5661	20.983	4.7564	3.22347	0.468764	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604	4.59455
10.3007	21.1156	4.7785	3.14248	0.315241	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674	1.74116
10.05	21.0296	4.85056	3.2402	0.464758	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463	1.58173
9.8683	20.9965	4.75429	3.26766	0.472872	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327	1.06848
9.63682	21.0103	4.72523	3.25151	0.405001	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189	0.351595
9.44246	20.9174	4.67883	3.31619	0.470724	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977	0.770771
9.22287	20.8661	4.68487	3.35732	0.51074	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362	1.18544
8.90622	20.8108	4.84001	3.37928	0.502219	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605	2.65573
8.69078	20.7128	4.81798	3.42717	0.53075	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372	4.42169
8.38692	20.5344	4.99476	3.51905	0.621594	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701	2.10914
8.16491	20.5023	4.92886	3.49924	0.536826	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542	0.409914
7.9213	20.4381	4.94137	3.5075	0.509402	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237	0.100859
7.71143	20.3625	4.93236	3.54076	0.540289	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781	3.36899
7.38779	20.356	5.0311	3.49198	0.427113	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717	3.04352
7.15083	20.2434	5.0501	3.52674	0.444636	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399	0.238633
6.88564	20.1762	5.08368	3.52377	0.407031	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462	0.345131
6.65911	20.0883	5.07162	3.54284	0.40936	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357	0.328395
6.41522	20.0064	5.07876	3.54865	0.387735	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079	0.0550143
6.20185	19.9168	5.06694	3.57681	0.417822	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625	2.62478
5.93735	19.8287	5.10948	3.57694	0.386485	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993	0.389751
5.70462	19.6156	5.22103	3.66782	0.503219	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178	1.67206
5.54586	19.5302	5.08414	3.67952	0.486333	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418	1.5277
5.34717	19.358	5.08766	3.7282	0.518319	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995	1.79048
5.13339	19.3569	4.96019	3.67066	0.397836	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622	0.875997
4.94652	19.256	4.90518	3.68549	0.39554	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059	3.24358
4.80254	19.0237	4.91922	3.78223	0.508996	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305	0.868069
4.59472	18.8613	4.97022	3.81775	0.531295	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359	1.32087
4.41633	18.7795	4.87137	3.80558	0.476218	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422	0.461507
4.23491	18.6496	4.81256	3.81108	0.439344	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888	0.969057
4.12653	18.4695	4.74297	3.8746	0.501636	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362	1.27809
3.95561	18.2494	4.90164	3.96243	0.628585	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644	5.79207
3.66316	18.1587	4.95498	3.89841	0.487823	3.45919	18.167	3.65611	18.0807	-3.77339	-3.33732	3.0659
3.49894	18.0434	4.83194	3.88698	0.423311	4.3011	17.9267	3.46891	17.9122	-3.71795	-3.40627	2.69749
3.26396	17.8205	4.98497	3.91482	0.43054	3.12525	17.7493	3.28449	17.7402	-3.66215	-3.47331	1.64083
3.08826	17.6109	5.07555	3.96845	0.494987	2.65664	17.888	3.10287	17.565	-3.60609	-3.53844	1.75486
2.88817	17.6549	4.79711	3.86472	0.31225	2.9449	17.8154	2.92405	17.3866	-3.54982	-3.60167	2.85889
2.77851	17.3171	5.02182	4.01949	0.541888	3.26647	17.0897	2.74805	17.2051	-3.49344	-3.66302	4.31634
2.60037	17.1083	5.06781	4.04441	0.538025	2.55407	17.0853	2.57486	17.0205	-3.437	-3.72251	0.179624
2.42122	17.0056	4.8885	3.9951	0.404546	2.55039	16.8884	2.4045	16.833	-3.38059	-3.78014	1.82471
2.25871	16.8293	4.88226	4.00897	0.395433	2.25371	16.8334	2.23695	16.6427	-3.32428	-3.83595	0.00469031
2.07736	16.6135	4.90817	4.01716	0.360818	1.57735	16.0489	2.07221	16.4497	-3.26812	-3.88995	5.55926
1.94597	16.2443	5.15119	4.12629	0.489569	1.88972	16.1054	1.91027	16.254	-3.21219	-3.94216	2.05612
